No.,Time,Source,Destination,Protocol,Length,Info
4843,14.228063,104.198.218.190,10.1.10.11,TLSv1.2,130,Application Data
4861,14.263474,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4896,14.345624,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4931,14.43468,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4932,14.435382,104.198.218.190,10.1.10.11,TLSv1.2,180,Application Data
4950,14.4845,104.198.218.190,10.1.10.11,TLSv1.2,339,"Application Data, Application Data, Application Data"
4981,14.52282,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4984,14.535483,104.198.218.190,10.1.10.11,TLSv1.2,180,Application Data
5019,14.580134,104.198.218.190,10.1.10.11,TLSv1.2,135,Application Data
5038,14.604311,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5117,14.686085,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5183,14.773162,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5238,14.852695,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5270,14.944124,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5277,14.956826,104.198.218.190,10.1.10.11,TLSv1.2,180,Application Data
5299,15.001086,104.198.218.190,10.1.10.11,TLSv1.2,139,Application Data
5312,15.022935,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5323,15.04466,104.198.218.190,10.1.10.11,TLSv1.2,481,"Application Data, Application Data, Application Data, Application Data"
5352,15.11168,104.198.218.190,10.1.10.11,TLSv1.2,200,Application Data
5359,15.11274,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5382,15.165542,104.198.218.190,10.1.10.11,TLSv1.2,123,Application Data
5405,15.192671,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5432,15.283233,104.198.218.190,10.1.10.11,TLSv1.2,200,Application Data
5440,15.288585,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5447,15.325971,104.198.218.190,10.1.10.11,TLSv1.2,128,Application Data
5473,15.362754,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5488,15.384278,104.198.218.190,10.1.10.11,TLSv1.2,200,Application Data
5513,15.428101,104.198.218.190,10.1.10.11,TLSv1.2,128,Application Data
5532,15.461401,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5591,15.542899,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5604,15.564459,104.198.218.190,10.1.10.11,TLSv1.2,200,Application Data
5632,15.608147,104.198.218.190,10.1.10.11,TLSv1.2,353,"Application Data, Application Data, Application Data"
5651,15.62308,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5669,15.654823,104.198.218.190,10.1.10.11,TLSv1.2,277,"Application Data, Application Data"
5713,15.712675,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5717,15.720374,104.198.218.190,10.1.10.11,TLSv1.2,208,Application Data
5767,15.768397,104.198.218.190,10.1.10.11,TLSv1.2,125,Application Data
5794,15.794922,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5808,15.816259,104.198.218.190,10.1.10.11,TLSv1.2,280,"Application Data, Application Data"
5855,15.859955,104.198.218.190,10.1.10.11,TLSv1.2,507,"Application Data, Application Data, Application Data, Application Data"
5875,15.882777,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5923,15.963078,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
5933,15.977388,104.198.218.190,10.1.10.11,TLSv1.2,215,Application Data
5962,16.022951,104.198.218.190,10.1.10.11,TLSv1.2,355,"Application Data, Application Data, Application Data"
5987,16.052574,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6059,16.132524,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6108,16.222497,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6114,16.233246,104.198.218.190,10.1.10.11,TLSv1.2,215,Application Data
6131,16.280296,104.198.218.190,10.1.10.11,TLSv1.2,132,Application Data
6149,16.302816,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6160,16.329941,104.198.218.190,10.1.10.11,TLSv1.2,293,"Application Data, Application Data"
6193,16.393345,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6225,16.47082,104.198.218.190,10.1.10.11,TLSv1.2,215,Application Data
6232,16.472772,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6245,16.516506,104.198.218.190,10.1.10.11,TLSv1.2,133,Application Data
6274,16.56867,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6308,16.655557,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6347,16.73378,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6424,16.829338,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6511,16.904846,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6598,16.9937,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6627,17.012541,104.198.218.190,10.1.10.11,TLSv1.2,233,Application Data
6683,17.058663,104.198.218.190,10.1.10.11,TLSv1.2,117,Application Data
6704,17.081072,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6739,17.103203,104.198.218.190,10.1.10.11,TLSv1.2,301,"Application Data, Application Data"
6804,17.163129,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6895,17.245277,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
6920,17.266471,104.198.218.190,10.1.10.11,TLSv1.2,233,Application Data
6968,17.310549,104.198.218.190,10.1.10.11,TLSv1.2,126,Application Data
6988,17.332848,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7024,17.362619,104.198.218.190,10.1.10.11,TLSv1.2,304,"Application Data, Application Data"
7069,17.412482,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7082,17.423743,104.198.218.190,10.1.10.11,TLSv1.2,233,Application Data
7128,17.470319,104.198.218.190,10.1.10.11,TLSv1.2,131,Application Data
7166,17.503095,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7176,17.514792,104.198.218.190,10.1.10.11,TLSv1.2,564,"Application Data, Application Data, Application Data, Application Data"
7212,17.582568,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7213,17.588005,104.198.218.190,10.1.10.11,TLSv1.2,235,Application Data
7236,17.636602,104.198.218.190,10.1.10.11,TLSv1.2,129,Application Data
7254,17.672579,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7287,17.752714,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7295,17.774088,104.198.218.190,10.1.10.11,TLSv1.2,235,Application Data
7311,17.820238,104.198.218.190,10.1.10.11,TLSv1.2,132,Application Data
7324,17.842737,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7359,17.923243,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7407,18.012814,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7448,18.075654,104.198.218.190,10.1.10.11,TLSv1.2,235,Application Data
7468,18.103307,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7477,18.123671,104.198.218.190,10.1.10.11,TLSv1.2,394,"Application Data, Application Data, Application Data"
7493,18.177614,104.198.218.190,10.1.10.11,TLSv1.2,240,Application Data
7508,18.192499,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7517,18.222973,104.198.218.190,10.1.10.11,TLSv1.2,130,Application Data
7540,18.266879,104.198.218.190,10.1.10.11,TLSv1.2,318,"Application Data, Application Data"
7549,18.273321,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
